Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85156,160.93510,308.89500,455.32049
6660.78906,8030.50342,8192.73040,8192.73040
0.02105,0.01970,0.02875,0.04121
0.35969,0.36240,0.56609,0.77337
0.02083,0.01480,0.01706,0.29142
4.19021,3.83819,7.06392,10.35014
0.02370,0.02164,0.03203,0.04722
45.30188,46.10866,57.11123,69.33854
0.07163,0.03408,0.17360,0.42359
0.02908,0.02122,0.04769,0.11637
