Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85156,160.93510,308.89500,455.32049
6660.78906,8030.50342,8192.73040,8192.73040
0.02094,0.01935,0.03134,0.04779
0.40473,0.37269,0.62939,0.94082
0.02088,0.01457,0.01730,0.30392
4.24387,3.77726,7.47079,10.51708
0.02391,0.02177,0.03519,0.05208
46.64073,45.92459,65.30058,80.88278
0.09328,0.04875,0.25898,0.48239
0.03380,0.02177,0.06272,0.16546
