Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,382.29,599.11,888.69,1571.37,4818.85,6773.84,8763.86,12705.90
SGLang deterministic,740.29,1251.72,1971.47,4876.56,15568.38,21377.92,28152.63,38832.37
LLM-42 @2%,378.75,592.53,870.93,1553.91,4846.86,6815.62,8838.68,12763.37
LLM-42 @5%,383.13,601.64,883.28,1586.20,4903.95,6911.51,8973.12,13058.73
LLM-42 @10%,379.69,593.37,872.64,1547.17,4972.80,7004.66,9118.24,13380.81
LLM-42 @20%,384.74,599.82,867.81,1528.16,5137.99,7226.13,9457.05,13809.44
LLM-42 @50%,379.43,585.37,824.64,1473.25,5459.12,7643.21,9882.95,14480.84
LLM-42 @100%,379.10,576.26,792.65,1378.91,6029.36,8489.72,11193.44,16483.07
