Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,29.71,41.54,64.95,164.87,2844.05,6634.47,10573.37,17329.62
SGLang deterministic,76.26,104.66,165.08,374.19,10469.64,26382.54,41722.68,70078.84
LLM-42 @2%,30.23,42.41,67.17,172.85,2954.15,6890.19,10971.10,18013.49
LLM-42 @5%,30.63,43.05,65.93,162.34,3028.05,7138.07,11306.20,18427.94
LLM-42 @10%,31.78,45.66,68.10,169.86,3312.55,7897.60,12526.80,20378.80
LLM-42 @20%,39.71,56.95,80.04,204.01,4954.53,11979.10,18927.87,31385.76
LLM-42 @50%,50.35,67.22,88.63,227.52,8054.75,20052.40,31835.11,52885.15
LLM-42 @100%,55.73,73.00,99.18,270.49,10642.85,25851.17,40978.42,68721.63
