Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,27.28,35.32,51.06,140.60,2143.37,5026.02,8115.01,13193.89
SGLang deterministic,53.96,71.04,107.39,237.81,4664.43,11116.40,17699.39,28229.38
LLM-42 @2%,27.61,35.94,52.75,131.62,2222.62,5201.12,8410.39,13501.94
LLM-42 @5%,27.69,36.38,53.34,135.55,2282.50,5325.95,8609.88,13883.09
LLM-42 @10%,28.05,37.64,54.12,136.31,2336.05,5430.81,8855.42,14188.68
LLM-42 @20%,29.00,40.63,57.97,137.52,2615.11,6148.96,9853.63,16160.19
LLM-42 @50%,38.59,53.00,70.37,176.92,4867.42,11799.94,18872.98,31261.41
LLM-42 @100%,46.32,58.72,75.76,227.91,7794.79,18565.25,29198.67,45844.50
