Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,27.28,35.32,51.06,140.60,2143.37,5026.02,8115.01,13193.89
SGLang deterministic,53.96,71.04,107.39,237.81,4664.43,11116.40,17699.39,28229.38
LLM-42 @2%,27.52,36.40,52.71,136.66,2267.57,5280.50,8586.96,13763.14
LLM-42 @5%,27.92,37.99,55.40,138.37,2334.69,5473.06,8849.28,14327.09
LLM-42 @10%,27.91,37.88,53.84,134.64,2382.94,5553.00,8998.88,14419.43
LLM-42 @20%,28.58,39.51,56.87,137.87,2509.60,5820.08,9496.61,15297.76
LLM-42 @50%,41.97,55.91,73.25,172.15,5439.87,13496.44,21351.03,35987.03
LLM-42 @100%,47.06,59.11,76.27,189.01,7691.06,18366.21,29210.23,45892.27
