Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,27.75,36.45,55.17,135.40,2361.09,5474.62,8894.48,14433.58
SGLang deterministic,60.65,79.72,126.68,291.07,6965.62,17243.83,27507.45,46128.42
LLM-42 @2%,27.99,36.86,55.20,142.38,2441.85,5670.00,9202.36,14856.12
LLM-42 @5%,28.31,37.82,56.89,142.07,2507.04,5805.36,9430.11,15253.19
LLM-42 @10%,28.51,39.06,57.22,139.66,2580.60,6015.74,9638.48,15850.17
LLM-42 @20%,30.60,43.57,63.02,154.73,3098.96,7383.92,11831.55,19085.40
LLM-42 @50%,43.24,57.64,74.98,181.80,6145.01,15176.42,23960.70,38905.27
LLM-42 @100%,48.44,61.37,80.16,182.36,8463.53,20400.42,31858.45,51020.92
