Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,28.50,38.64,58.92,150.94,2580.58,5999.15,9640.35,15695.19
SGLang deterministic,62.41,85.68,139.71,328.58,7552.94,18669.93,29408.52,48719.62
LLM-42 @2%,29.19,40.28,61.07,147.07,2716.61,6379.48,10236.98,16585.97
LLM-42 @5%,29.62,41.40,64.00,153.98,2834.97,6652.91,10629.09,17162.67
LLM-42 @10%,29.76,42.01,63.21,149.60,2881.85,6805.11,10897.65,17395.31
LLM-42 @20%,31.69,45.06,69.49,164.42,3381.47,7996.22,12880.61,21213.72
LLM-42 @50%,49.78,65.69,86.40,264.59,8001.50,19794.84,31334.24,50564.49
LLM-42 @100%,50.55,64.66,84.76,222.68,8997.69,21585.86,34117.09,54709.02
