Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
SGLang non-deterministic,362.67,558.24,781.78,1447.96,4110.49,5703.68,7289.13,10503.54
SGLang deterministic,621.74,983.30,1488.77,2555.54,12204.41,16394.19,20859.96,29338.40
LLM-42 @2%,358.95,553.22,775.90,1431.66,4144.60,5743.72,7329.01,10464.40
LLM-42 @5%,360.43,553.99,775.50,1435.41,4167.11,5784.63,7417.54,10602.90
LLM-42 @10%,358.00,552.15,772.92,1412.81,4237.98,5883.00,7534.28,10601.24
LLM-42 @20%,362.47,558.13,773.53,1404.94,4329.35,6032.14,7790.45,11060.29
LLM-42 @50%,359.97,545.11,751.12,1335.10,4573.46,6327.28,8202.31,11852.96
LLM-42 @100%,360.00,543.26,737.55,1243.36,4985.69,6942.89,8966.89,12886.46
