Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,335.96,506.18,820.53,1387.93,3681.34,4498.05,7164.84,10922.84
Global-deterministic,571.75,1085.28,1902.69,2570.48,9892.05,13528.40,17939.38,27825.05
LLM-42 @2%,336.73,503.79,817.45,1397.57,3706.44,4569.99,7186.06,10940.05
LLM-42 @5%,341.98,507.84,825.75,1384.52,3690.19,4659.60,7331.07,11050.29
LLM-42 @10%,346.31,504.42,848.28,1317.74,3715.08,4885.25,7336.06,11745.71
LLM-42 @20%,346.81,508.43,853.79,1323.83,4034.56,5322.97,7375.31,11815.51
LLM-42 @50%,338.75,503.87,747.81,1310.29,4151.51,5403.74,7935.27,12251.62
LLM-42 @100%,345.48,510.04,749.16,1187.45,4529.36,5790.18,8688.69,13199.67
