Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,399.28,749.49,1353.60,1830.67,5314.64,8088.01,11140.21,17839.75
Global-deterministic,1356.86,2737.80,3594.09,4269.54,18953.22,26642.05,32305.18,47051.73
LLM-42 @2%,407.02,748.82,1381.06,1861.80,5395.43,8118.25,11540.97,17931.21
LLM-42 @5%,418.07,748.11,1452.17,2056.20,5609.22,8284.04,12089.54,18733.88
LLM-42 @10%,410.77,742.00,1432.02,1884.71,5674.40,8370.45,12160.91,18912.76
LLM-42 @20%,412.31,751.93,1466.98,1928.09,5867.60,8847.16,13001.30,19448.85
LLM-42 @50%,406.32,732.25,1235.99,1566.25,5994.36,9112.02,13599.22,19708.82
LLM-42 @100%,398.65,712.11,1187.75,1566.07,6924.16,11446.20,14872.49,22524.65
