Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,27.05,36.20,64.82,114.13,2418.67,5187.71,7906.87,10890.09
Global-deterministic,58.44,77.41,167.10,238.46,5507.02,9705.44,15398.29,21686.71
LLM-42 @2%,27.47,39.70,57.60,122.88,2401.88,5378.95,8038.66,10982.74
LLM-42 @5%,27.95,40.15,67.16,117.27,2582.43,5434.41,8157.22,11292.42
LLM-42 @10%,29.29,40.65,60.88,119.83,2562.56,5394.27,8218.52,11324.74
LLM-42 @20%,28.04,38.00,68.75,116.00,2702.06,5677.25,8445.44,11475.37
LLM-42 @50%,31.31,46.34,67.37,116.05,3693.51,7239.82,10628.31,13613.50
LLM-42 @100%,34.94,48.53,77.48,124.23,4949.66,10064.39,14388.52,17645.20
