Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,380.60,708.15,1192.31,1645.98,4695.91,6180.96,9037.62,14980.82
Global-deterministic,917.45,1757.22,2812.55,3551.71,14681.48,21268.94,26115.92,37319.77
LLM-42 @2%,387.29,714.23,1193.85,1647.32,4752.12,6181.74,9110.01,15036.20
LLM-42 @5%,387.99,716.09,1282.52,1779.49,4752.81,6306.70,9210.31,15195.69
LLM-42 @10%,387.54,728.75,1293.89,1648.80,5123.50,6906.08,9458.54,15479.01
LLM-42 @20%,389.00,720.57,1243.45,1724.06,5076.62,7254.93,9607.29,16109.07
LLM-42 @50%,383.93,713.93,1029.73,1503.01,5359.65,8094.48,10385.11,16698.36
LLM-42 @100%,387.66,698.01,1003.92,1479.71,5980.12,8506.08,11171.38,19174.28
