Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,28.36,37.64,69.71,125.96,2459.52,5224.01,7949.07,10877.89
Global-deterministic,55.50,81.91,158.77,211.30,5669.72,9752.84,15484.12,21718.85
LLM-42 @2%,27.28,38.13,66.74,117.25,2452.46,5398.96,8087.02,11029.16
LLM-42 @5%,28.53,42.48,80.99,151.51,2674.84,5471.31,8204.75,11339.11
LLM-42 @10%,27.91,39.45,63.52,117.53,2579.43,5471.39,8303.52,11377.45
LLM-42 @20%,27.35,39.26,67.67,116.16,2647.52,5683.05,8475.30,11575.85
LLM-42 @50%,32.91,48.33,84.80,118.91,3775.51,7464.98,10766.85,13741.09
LLM-42 @100%,38.31,52.15,78.44,142.67,5265.38,10572.12,14763.31,17855.09
