Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,28.48,40.87,69.53,123.92,2692.70,5247.69,7977.23,10902.66
Global-deterministic,65.30,85.40,155.96,231.53,5739.42,9683.42,15434.29,21622.15
LLM-42 @2%,26.95,39.01,64.32,120.66,2652.99,5515.12,8236.43,11161.89
LLM-42 @5%,30.96,46.97,87.97,122.39,2975.85,5541.69,8438.60,11614.87
LLM-42 @10%,28.97,40.30,79.60,122.14,2907.51,5662.84,8517.46,11549.38
LLM-42 @20%,28.26,41.43,69.37,120.72,2916.16,5748.71,8648.67,11731.93
LLM-42 @50%,32.04,44.61,73.92,123.86,3584.65,6767.95,9956.03,13073.80
LLM-42 @100%,37.35,55.98,86.91,132.10,5668.22,10478.41,14250.26,17998.00
