Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,351.35,532.73,900.43,1461.56,4189.52,5264.15,8061.59,12018.97
Global-deterministic,658.08,1431.84,2191.59,2844.86,11679.21,17273.62,22839.99,34113.66
LLM-42 @2%,351.88,546.35,899.78,1458.17,4229.69,5325.01,8082.57,12030.61
LLM-42 @5%,352.87,548.04,906.19,1464.99,4215.19,5440.92,8131.62,12120.17
LLM-42 @10%,357.90,551.12,914.03,1423.79,4264.81,5630.07,8195.22,12750.52
LLM-42 @20%,365.99,557.41,930.53,1431.25,4385.73,5724.56,8361.88,12821.69
LLM-42 @50%,363.50,530.91,905.41,1418.77,4600.48,6502.61,9424.54,13384.90
LLM-42 @100%,362.92,531.86,885.53,1297.16,5029.88,6669.40,9768.42,14994.33
