Config,TTFT P50,TTFT P75,TTFT P90,TTFT P99,E2E P50,E2E P75,E2E P90,E2E P99
Non-deterministic,30.11,40.83,75.15,127.36,2797.89,5260.75,7988.71,10891.79
Global-deterministic,65.70,95.40,161.67,240.84,5661.77,9573.47,15316.53,21513.99
LLM-42 @2%,28.39,38.96,77.53,126.51,2809.36,5466.80,8153.66,11071.26
LLM-42 @5%,30.88,42.16,72.26,125.99,2993.74,5507.93,8264.02,11402.27
LLM-42 @10%,27.99,40.13,71.15,119.69,2924.66,5537.12,8350.07,11378.16
LLM-42 @20%,28.58,43.91,70.25,122.36,3002.27,5800.13,8576.98,11653.26
LLM-42 @50%,36.90,47.94,91.87,123.60,4133.33,7770.94,11133.90,13955.99
LLM-42 @100%,36.87,53.28,72.71,127.77,5414.13,10210.21,13937.88,17020.30
