Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
218.82812,159.97238,512.34672,722.70542
901.88477,650.01904,2016.26493,5255.35248
0.00810,0.00859,0.00994,0.01139
0.05642,0.04905,0.07072,0.18731
0.00843,0.00859,0.01037,0.01575
1.89173,1.35121,4.32754,6.48181
0.00954,0.00916,0.01162,0.02134
113.72952,108.96220,162.22775,186.23350
0.00121,0.00000,0.00000,0.00000
0.00611,0.00615,0.00871,0.01128
