Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2274.93750,1738.88953,5458.89883,6884.32554
449.28516,423.68977,868.70340,1001.24730
2724.22266,2268.79033,6020.96245,7413.08878
0.01469,0.01457,0.01652,0.01859
0.15433,0.11848,0.33723,0.41107
0.01481,0.01323,0.01434,0.04385
6.79160,6.44304,13.05277,15.28696
0.01550,0.01516,0.01709,0.02312
65.82259,65.82508,74.81369,81.69567
0.00227,0.00000,0.00395,0.02257
39062500.01325,0.01355,0.01525,0.01751
