Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85938,160.93510,308.89500,455.32049
6660.79688,8030.50342,8192.73040,8192.73040
0.01872,0.01727,0.02586,0.03752
0.34206,0.35099,0.51530,0.70398
0.01860,0.01318,0.01581,0.29790
3.76279,3.43151,6.50779,9.61188
0.02125,0.01943,0.02928,0.04315
50.65878,51.47009,65.03990,73.62620
0.05978,0.02440,0.15459,0.40454
0.02563,0.01867,0.04456,0.11025
