Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02067,0.01885,0.02963,0.04684
0.39139,0.39574,0.60592,0.80172
0.02043,0.01397,0.01581,0.32400
4.14818,3.76219,7.07806,10.18586
0.02357,0.02130,0.03307,0.04984
46.28688,46.75872,59.79971,74.66422
0.08499,0.04573,0.20129,0.45339
0.03203,0.02177,0.05420,0.15305
