Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.28320,170.88678,308.27783,434.85017
6721.98438,8078.83129,8192.73040,8192.73040
0.01452,0.01386,0.01804,0.02500
0.25624,0.27832,0.34335,0.49411
0.01440,0.01148,0.01188,0.19224
2.89603,2.65647,4.75406,6.85515
0.01643,0.01544,0.02063,0.03053
64.00886,64.78026,78.80693,100.38382
0.01806,0.00000,0.05260,0.21719
0.01593,0.01297,0.02177,0.05135
