,cdf,Normalized End to End Latency
0,0.0,0.005252756725242738
1,0.01,0.005294947330512906
2,0.02,0.005316169543037792
3,0.03,0.005326812525105936
4,0.04,0.0053481624537136474
5,0.05,0.00536959795309176
6,0.06,0.0054019123979731284
7,0.07,0.0054019123979731284
8,0.08,0.005434421312413881
9,0.09,0.005456202538334149
10,0.1,0.0054671258667392236
11,0.11,0.005489038172906209
12,0.12,0.005500027238317433
13,0.13,0.0055110383038596104
14,0.14,0.0055220714135770475
15,0.15,0.005544203942155982
16,0.16,0.005555303449547687
17,0.17,0.00556642517817541
18,0.18,0.0055887354771758145
19,0.19,0.005599924136789781
20,0.2,0.005622368700018833
21,0.21,0.0056336246934122645
22,0.22,0.005656204328877208
23,0.23,0.005667528061267354
24,0.24,0.005678874463792414
25,0.25,0.0056902435818380415
26,0.26,0.00570163546088076
27,0.27,0.00571305014648813
28,0.28,0.00573594812012338
29,0.29,0.005758937869112104
30,0.3,0.005782019761291014
31,0.31,0.005793595376428735
32,0.32,0.005805194165971136
33,0.33,0.005828461453943678
34,0.34,0.005840130045443066
35,0.35000000000000003,0.005840130045443066
36,0.36,0.005863537356840318
37,0.37,0.005898824347855797
38,0.38,0.005910633806009663
39,0.39,0.0059462042252490166
40,0.4,0.005970036683233525
41,0.41000000000000003,0.005993964661996007
42,0.42,0.006005964591249252
43,0.43,0.0060300365694987675
44,0.44,0.00604210871478305
45,0.45,0.006078470355028143
46,0.46,0.006151851429625353
47,0.47000000000000003,0.006176508124076063
48,0.48,0.006176508124076063
49,0.49,0.006201263642854402
50,0.5,0.00621367858508234
51,0.51,0.006226118382049471
52,0.52,0.006251072739337889
53,0.53,0.006288691933037197
54,0.54,0.0063265375204762065
55,0.55,0.006377352827792948
56,0.56,0.0064285762881395835
57,0.5700000000000001,0.006506183944112373
58,0.58,0.006597911142084989
59,0.59,0.006664221273683521
60,0.6,0.006785263408045402
61,0.61,0.0068124588253167095
62,0.62,0.006922334867471355
63,0.63,0.006963993742210106
64,0.64,0.007133151421061933
65,0.65,0.00720484080869643
66,0.66,0.007291819757340413
67,0.67,0.007424260951977208
68,0.68,0.007574241022410438
69,0.6900000000000001,0.007742720864020072
70,0.7000000000000001,0.007851881332835802
71,0.71,0.008010499910893521
72,0.72,0.008107205012208357
73,0.73,0.008237963615308814
74,0.74,0.008320756553811835
75,0.75,0.008454959463702113
76,0.76,0.00857416140254051
77,0.77,0.00869504390558313
78,0.78,0.00876488326506922
79,0.79,0.008870695503205394
80,0.8,0.00890624935737269
81,0.81,0.009013768208383307
82,0.8200000000000001,0.009049895499672129
83,0.8300000000000001,0.009122585058457146
84,0.84,0.009195858466188983
85,0.85,0.009288278411217488
86,0.86,0.00941922886696375
87,0.87,0.009494884943927235
88,0.88,0.00976449879154811
89,0.89,0.00984292810699602
90,0.9,0.010021705037940093
91,0.91,0.010389059244056925
92,0.92,0.010598932233063824
93,0.93,0.010834692676727332
94,0.9400000000000001,0.011831356055865461
95,0.9500000000000001,0.012046248768844926
96,0.96,0.012265044574409346
97,0.97,0.013366523577309688
98,0.98,0.015283187764556231
99,0.99,0.018042921381796924
100,1.0,0.036699153056495896
