Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
683.05664,436.59305,1644.18807,4670.41082
218.84180,159.97238,513.37244,722.70542
901.89844,650.01904,2016.26493,5255.35248
0.00611,0.00553,0.00870,0.00998
0.05444,0.04722,0.06620,0.18544
0.00625,0.00539,0.00875,0.01103
1.41583,1.09966,2.96536,4.91848
0.00741,0.00621,0.01002,0.01804
147.38075,160.93510,182.91128,188.85910
0.00008,0.00000,0.00000,0.00000
0.00376,0.00445,0.00729,0.00842
