Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6537.70117,7840.06567,8095.00513,8160.02492
184.23242,170.88678,308.27783,434.85017
6721.93359,8078.83129,8192.73040,8192.73040
0.03253,0.03096,0.04205,0.05356
0.37895,0.38635,0.56270,0.76109
0.03223,0.02321,0.02383,0.30210
6.28536,5.79503,10.62278,14.59969
0.03525,0.03341,0.04555,0.06027
29.44448,29.87436,35.48112,40.65008
0.15253,0.11967,0.35594,0.51840
0.03894,0.03146,0.05281,0.15305
