Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
6475.93750,7793.16610,8078.83129,8160.02492
184.85547,160.93510,308.89500,455.32049
6660.79297,8030.50342,8192.73040,8192.73040
0.02323,0.02084,0.03583,0.05156
0.47014,0.45886,0.75051,1.08220
0.02286,0.01436,0.01686,0.39180
4.67253,4.21648,7.90109,11.41582
0.02668,0.02392,0.04032,0.06002
41.81486,41.80436,55.09180,70.17562
0.12764,0.08535,0.31068,0.53100
0.04157,0.02719,0.07974,0.21204
